osm_id,name,name_de,height,latitude,longitude,wikidata,wikipedia,region_source
12177052007,Spitzberg,,921,49.0795445,13.1864261,Q31520010,,bayern-260721
10265851696,,,921,47.8811984,8.5834981,,,baden-wuerttemberg
1279771707,,,921,47.5829449,11.6307978,,,bayern-260721
12247790040,,,921,47.5718047,9.8356042,,,bayern-260721
291414705,Böllat,,920,48.2424252,8.9250461,Q21714643,de:Böllat,baden-wuerttemberg
2673647869,Drähberg,,920,49.1142192,13.2217967,,,bayern-260721
12405793166,Rindelberg,,920,48.9024882,13.4993863,Q31525875,,bayern-260721
2753877369,Schnaitkapf,,920,48.1010668,8.9650693,Q2246935,,baden-wuerttemberg
2129687556,Schnecklesfels,,920,48.22064,9.0163937,,,baden-wuerttemberg
12486426251,Vysoký kámen,Hoher Stein,920,50.4617134,13.0324466,,,sachsen-260721
4879132556,,Haberg,920,50.4061531,12.6569714,,,sachsen-260721
13409238897,Bühl,,919,48.2676722,9.0398514,,,baden-wuerttemberg
1581739750,Laubenberg,,919,47.6237134,10.0207252,Q15118205,de:Laubenberg (Berg),bayern-260721
10764132472,Steinberg,,919,48.8882895,13.059622,Q31308060,,bayern-260721
11380438934,Äußerer Bühl,,919,48.1084794,8.8287468,,,baden-wuerttemberg
6769694029,Eichelberg,,918,48.4648006,8.2870645,Q30610172,,baden-wuerttemberg
2113638128,Fürstenberg,,918,47.8904359,8.5616925,Q162539,,baden-wuerttemberg
8209209315,Heidenkapf,,918,47.7325235,10.0857712,Q124323393,,baden-wuerttemberg
4104433161,Mähdige Leite,,918,47.6658135,10.9662586,,,bayern-260721
3106093355,Boiderköpfl,,917,47.7392018,12.6479314,,,bayern-260721
11439284989,Einöder Berg,,917,47.7800456,12.4223203,,,bayern-260721
2362228098,Hausstein,,917,48.870936,13.0705657,Q1591314,de:Hausstein,bayern-260721
12325406491,Herbstriegel,,917,49.0117883,13.3689344,,,bayern-260721
4157895220,Otterberg,,917,50.4245781,12.6027614,,,sachsen-260721
7099382526,Pfennigfelsen,,917,49.3439445,12.7844324,,,bayern-260721
205186452,Großer Inselsberg,,916,50.8511626,10.4665051,Q1548714,,thueringen-260721
13460725618,Heirich,,916,48.2844637,9.0742317,Q30761217,,baden-wuerttemberg
4177274836,Höhenegg,,916,47.71809,10.26344,Q131301299,,bayern-260721
928218659,Kapf,,916,47.6226057,10.0345968,Q124356405,,bayern-260721
281349077,Kleiner Herrenberg,,916,47.4464219,10.2332525,Q130492268,,bayern-260721
11378562421,Kleiner Kirschbühl,,916,48.1168583,8.8827281,,,baden-wuerttemberg
3625017801,Lastenbergle,,916,48.1793985,9.0054248,,,baden-wuerttemberg
12426918196,Seeberg,,916,48.8873936,13.5535455,,,bayern-260721
4104433146,Sonnenbichel,,916,47.7185618,11.0417739,,,bayern-260721
5283796710,Wolfswarte,,916,51.7902687,10.5028661,Q31514466,,niedersachsen-260721
4102158245,,,916,47.4903531,11.1293516,,,bayern-260721
5125956063,,,916,48.9461142,12.9408377,,,bayern-260721
11603330069,,,916,47.4171952,10.2389789,,,bayern-260721
12666718529,,,916,47.5103311,10.3263545,,,bayern-260721
7695506467,Blatthalde,,915,47.9666316,8.6344069,,,baden-wuerttemberg
704655526,Gräbelesberg,,915,48.2112498,8.9193204,Q1551267,de:Gräbelesberg,baden-wuerttemberg
4104433160,Kleinbicheleck,,915,47.6606488,10.9245132,,,bayern-260721
411674607,Sachsenstein,,915,50.6524555,10.7917302,Q89111303,,thueringen-260721
5438329540,Schmidtriegel,,915,49.2443179,12.9117946,,,bayern-260721
5537939859,Steinberg,,915,50.4423129,12.5838898,,,sachsen-260721
3719069046,Tři skalky,,915,50.3869718,12.5127247,,,sachsen-260721
5438329539,Wolfsriegel,,915,49.247208,12.9012404,,,bayern-260721
11592719838,,,915,47.7528983,10.1417717,,,bayern-260721
12574622305,,,915,47.6072698,10.5682146,,,bayern-260721
11388633048,Christusbühl,,914,48.1320478,8.9825783,,,baden-wuerttemberg
6324905696,Eichberg,,914,47.84878,8.51666,Q31554463,,baden-wuerttemberg
13689159079,Guggenbühl,,914,47.7688864,10.4441678,Q138827635,,bayern-260721
436158256,Harlachberger Spitze,,914,49.0494155,13.0806915,Q31542264,,bayern-260721
